Dive_name	Dive16_GP060004_6	Dive16_GP060004_7	Dive16_GP060004_8	Dive18_GP050002_4	Dive18_GP050002_5	Dive18_GP050002_6	Dive18_GP050002_7	Dive18_GP050002_8	Dive18_GP050002_9	Dive18_GP050002_0	Dive18_GP060002_1	Dive18_GP060002_2	Dive18_GP060002_3	Dive18_GP060002_4	Dive18_GP060002_5	Dive18_GP060002_6	Dive18_GP060002_7	Dive18_GP060002_5-1	Dive18_GP070002_1	Dive18_GP070002_2	Dive18_GP070002_3	Dive18_GP070002_4	Dive18_GP070002_5	Dive18_GP070002_6	Dive18_GP070002_7	Dive18_GP070002_8	Dive18_GP070002_9	Dive18_GP070002_10	Dive18_GP070002_11	Dive18_GP070002_7-1	Dive21_GP07001_1	Dive21_GP07001_2	Dive21_GP07001_4	Dive21_GP07001_5	Dive21_GP07001_6	Dive21_GP07001_7	Dive21_GP07001_8	Dive21_GP07001_9	Dive21_GP08001_1	Dive21_GP08001_2	Dive21_GP08001_3	Dive21_GP08001_4	Dive21_GP08001_5	Dive21_GP08001_6	Dive21_GP08001_7	Dive21_GP08001_8	Dive21_GP08001_9	Dive21_GP08001_10	Dive21_GP08001_11	Dive21_GP08001_12	Dive21_GP08001_13	Dive21_GP08001_14	Dive21_GP08001_15	Dive21_GP08001_16	Dive21_GP09001_1	Dive21_GP09001_2	Dive21_GP09001_3	Dive21_GP09001_4	Dive21_GP09001_5	Dive21_GP09001_6	Dive19_GP140001_1	Dive19_GP140001_2	Dive19_GP140001_3	Dive19_GP140001_4	Dive19_GP140001_5	Dive19_GP140001_6	Dive19_GP140001_7	Dive19_GP140001_8	Dive23_GP030001_1	Dive23_GP030001_5	Dive23_GP030001_6	Dive23_GP040001_1	Dive23_GP040001_2	Dive23_GP040001_3	Dive23_GP040001_4	Dive23_GP040001_5	Dive23_GP040001_6	Dive23_GP040001_7	Dive23_GP040001_8	Dive23_GP040001_9	Dive23_GP040001_10	Dive23_GP040001_11	Dive23_GP040001_12	Dive23_GP040001_14	Dive23_GP040001_15	Dive23_GP050001_1	Dive23_GP050001_2	Dive23_GP050001_3	Dive23_GP050001_4	Dive23_GP050001_6
IOTU40_Caryophylliidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IOTU56_Porifera	0	3	0	2	2	3	0	0	0	2	5	1	0	0	0	0	5	0	3	0	1	0	0	0	0	1	7	2	1	0	2	0	1	6	2	0	0	0	1	0	1	2	2	13	2	2	1	0	3	2	0	1	0	0	1	0	4	1	0	1	0	0	1	0	2	1	1	3	2	21	3	3	1	2	0	0	0	0	1	4	1	0	0	5	1	0	0	0	0	0
IOTU19_Stylasteridae	0	26	3	0	8	7	5	6	0	5	1	10	0	2	0	15	4	8	4	0	5	0	0	0	3	0	0	0	4	0	5	10	4	4	2	6	1	1	0	0	1	1	0	0	7	0	5	5	38	11	1	10	9	0	2	5	9	6	0	10	0	0	0	1	8	0	0	0	2	3	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IOTU167_Alcyonacea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IOTU71_Porifera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IOTU57_Porifera	0	4	1	3	0	2	1	2	2	0	3	1	0	0	0	6	5	0	0	0	0	2	1	1	0	0	1	0	2	0	0	3	1	1	5	6	0	1	0	0	1	1	0	0	1	3	8	0	4	2	1	5	1	0	2	4	0	7	0	0	0	2	1	3	2	3	2	4	4	4	5	0	3	5	0	3	1	3	0	5	8	3	2	1	5	0	0	0	0	0
IOTU61_Anthozoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IOTU116_Porifera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IOTU3_Eleutherobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IOTU169_Alcyonacea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
